"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","4.4","10.0","209.8","38","430","18","65"
"2","7.6","18.0","209.8","38","430","18","66"
"3","10.8","26.0","205.1","41","439","19","68"
"4","14.3","34.0","208.1","39","433","17","71"
"5","18.4","44.0","216.7","34","418","15","73"
"6","22.3","53.0","216.7","34","418","15","74"
"7","26.3","62.0","216.9","34","418","16","75"
"8","30.3","71.0","213.3","36","424","15","76"
"9","34.0","80.0","212.5","36","425","16","76"
"10","37.6","89.0","212.5","36","425","16","77"
"11","41.4","97.0","214.6","35","422","16","78"
"12","45.1","107.0","214.6","35","422","16","79"
"13","49.0","116.0","203.0","42","444","16","81"
"14","53.1","126.0","207.5","39","435","15","83"
"15","57.6","137.0","205.1","41","439","15","83"
"16","61.7","147.0","205.6","40","438","13","84"
"17","65.4","156.0","199.8","44","451","16","84"
"18","69.2","166.0","199.8","44","451","16","84"
"19","73.0","176.0","195.9","47","460","16","85"
"20","77.0","186.0","192.5","49","469","16","86"
"21","80.9","196.0","198.7","45","453","15","88"
"22","84.8","206.0","198.7","45","453","15","88"
"23","88.5","216.0","198.2","45","454","15","90"
"24","92.5","226.0","190.9","50","473","15","90"
"25","96.4","236.0","201.2","43","448","15","90"
"26","99.8","245.0","192.9","49","468","18","90"
"27","103.6","255.0","192.9","49","468","18","90"
"28","107.3","264.0","189.7","51","476","16","91"
"29","111.0","274.0","189.9","51","476","16","91"
"30","115.0","285.0","190.1","51","475","16","91"
"31","118.8","295.0","193.5","48","466","16","91"
"32","122.8","305.0","193.5","48","466","16","91"
"33","126.6","315.0","194.9","47","462","15","91"
"34","130.8","325.0","193.5","48","466","16","91"
"35","134.9","336.0","197.9","45","455","15","91"
"36","138.1","345.0","197.9","45","455","15","92"
"37","141.7","354.0","183.2","57","496","19","91"
"38","145.1","363.0","185.6","55","488","17","91"
"39","148.8","373.0","189.5","51","477","18","91"
"40","152.5","383.0","189.4","52","477","16","92"
"41","156.3","393.0","188.1","53","481","16","93"
"42","159.8","402.0","188.1","53","481","16","94"
"43","163.3","411.0","189.4","52","477","17","95"
"44","167.0","421.0","189.1","52","478","16","96"
"45","171.0","432.0","192.1","49","470","15","96"
"46","174.8","442.0","192.1","49","470","15","97"
"47","178.6","452.0","190.5","51","474","16","96"
"48","182.6","462.0","191.2","50","472","16","96"
"49","186.6","472.0","193.8","48","465","15","95"
"50","190.4","482.0","189.0","52","478","16","95"
"51","194.2","493.0","189.0","52","478","16","95"
"52","198.3","503.0","188.6","52","479","16","96"
"53","202.8","515.0","190.5","51","474","15","97"
"54","206.8","525.0","197.0","46","457","13","97"
"55","210.7","535.0","194.4","48","464","15","97"
"56","214.1","545.0","190.1","51","475","15","97"
"57","217.3","554.0","180.9","59","503","17","97"
"58","220.5","563.0","176.1","64","520","19","97"
"59","223.6","572.0","176.1","64","520","19","97"
"60","226.8","581.0","173.2","67","532","19","97"
"61","230.4","591.0","176.4","64","519","17","98"
"62","234.1","601.0","176.4","64","519","17","99"
"63","237.8","611.0","188.3","52","480","16","100"
"64","241.6","621.0","188.3","52","480","16","100"
"65","245.4","631.0","191.8","50","470","16","101"
"66","249.2","641.0","191.8","50","470","16","101"
"67","253.1","651.0","195.1","47","462","16","101"
"68","257.0","661.0","193.1","49","467","15","101"
"69","261.0","671.0","194.1","48","464","16","101"
"70","264.8","682.0","189.6","51","476","16","99"
"71","269.0","693.0","179.0","61","510","15","99"
"72","272.7","704.0","179.0","61","510","15","98"
"73","276.6","714.0","176.5","64","519","16","98"
"74","280.4","725.0","186.1","54","487","16","98"
"75","284.1","734.0","186.1","54","487","16","99"
"76","287.4","743.0","180.4","60","505","18","99"
"77","291.1","755.0","180.4","60","505","18","99"
"78","294.7","766.0","167.1","75","558","16","99"
"79","298.3","777.0","166.1","76","562","16","99"
"80","301.6","786.0","166.1","76","562","16","101"
"81","304.9","796.0","168.5","73","551","18","102"
"82","308.2","806.0","168.5","73","551","18","103"
"83","311.8","816.0","172.1","69","536","18","105"
"84","315.2","826.0","180.1","60","506","17","106"
"85","319.3","837.0","171.3","70","539","17","106"
"86","322.9","847.0","181.4","59","502","17","106"
"87","326.6","858.0","181.4","59","502","17","107"
"88","330.5","868.0","178.6","61","511","16","107"
"89","334.1","878.0","180.5","60","505","16","107"
"90","337.8","889.0","179.4","61","508","17","107"
"91","341.4","899.0","172.5","68","534","17","107"
"92","345.3","911.0","172.5","68","534","17","107"
"93","348.3","920.0","167.2","75","557","20","107"
"94","351.9","931.0","163.1","81","577","17","106"
"95","355.4","941.0","167.4","75","556","17","106"
"96","358.9","952.0","163.0","81","578","17","106"
"97","362.3","962.0","165.2","78","567","17","106"
"98","365.9","973.0","169.0","73","549","17","107"
"99","369.6","984.0","169.0","73","549","17","108"
"100","373.3","995.0","170.8","70","541","16","109"
"101","377.0","1005.0","170.8","70","541","16","110"
"102","380.7","1016.0","171.9","69","537","16","111"
"103","384.3","1026.0","180.7","59","504","16","111"
"104","388.0","1037.0","173.4","67","531","17","111"
"105","391.6","1047.0","175.0","65","524","16","111"
"106","395.1","1057.0","177.4","63","515","17","112"
"107","398.7","1067.0","172.8","68","533","17","112"
"108","402.1","1077.0","175.5","65","523","17","113"
"109","405.6","1087.0","179.1","61","509","17","114"
"110","409.2","1097.0","173.3","67","531","17","113"
"111","412.7","1107.0","173.8","67","529","17","113"
"112","416.1","1117.0","176.5","64","519","17","113"
"113","419.7","1128.0","173.8","67","529","17","113"
"114","423.4","1138.0","171.5","69","538","16","113"
"115","426.9","1149.0","171.9","69","537","17","113"
"116","430.4","1159.0","171.2","70","540","17","113"
"117","434.0","1169.0","171.2","70","540","17","113"
"118","437.8","1181.0","171.5","69","538","17","113"
"119","441.2","1191.0","169.7","72","546","16","113"
"120","444.4","1201.0","165.3","77","566","18","113"
"121","447.5","1210.0","165.3","77","566","18","113"
"122","450.9","1221.0","164.3","79","571","17","114"
"123","454.4","1230.0","176.9","63","517","17","115"
"124","457.9","1240.0","179.3","61","509","17","116"
"125","461.4","1250.0","176.4","64","519","17","116"
"126","464.9","1260.0","176.6","64","518","17","117"
"127","468.4","1270.0","180.2","60","506","17","117"
"128","471.9","1280.0","181.0","59","503","17","117"
"129","475.6","1290.0","181.0","59","503","17","116"
"130","479.2","1301.0","176.3","64","520","17","116"
"131","482.7","1312.0","171.1","70","540","17","117"
"132","486.3","1322.0","162.3","82","581","17","116"
"133","489.7","1332.0","167.3","75","557","17","116"
"134","493.1","1341.0","172.3","68","535","18","116"
"135","496.4","1351.0","173.5","67","530","18","116"
"136","499.8","1361.0","173.5","67","530","18","116"
"137","503.3","1371.0","172.4","68","535","17","116"
"138","506.9","1382.0","170.8","70","541","17","116"
"139","510.3","1392.0","170.8","70","541","17","117"
"140","513.6","1401.0","171.3","70","539","18","117"
"141","517.2","1412.0","168.7","73","551","18","118"
"142","520.6","1422.0","171.0","70","541","17","118"
"143","524.0","1432.0","173.8","67","529","18","118"
"144","527.5","1442.0","174.3","66","527","17","118"
"145","531.1","1452.0","174.1","66","528","17","118"
"146","534.3","1461.0","173.1","67","532","18","118"
"147","537.8","1472.0","173.1","67","532","18","118"
"148","541.2","1482.0","166.3","76","562","17","118"
"149","544.5","1492.0","167.2","75","557","18","118"
"150","548.0","1502.0","175.1","65","524","18","118"
"151","551.3","1511.0","173.3","67","531","17","118"
"152","554.7","1522.0","167.7","74","555","18","119"
"153","558.0","1531.0","168.4","73","552","18","119"
"154","561.4","1541.0","169.7","72","546","18","120"
"155","564.8","1551.0","169.7","72","546","18","121"
"156","568.3","1561.0","182.9","57","497","17","121"
"157","571.8","1570.0","182.9","57","497","17","121"
"158","575.3","1580.0","186.6","54","485","17","120"
"159","578.7","1589.0","183.4","57","495","17","120"
"160","582.3","1599.0","181.0","59","503","17","119"
"161","585.6","1609.0","181.0","59","503","17","119"
"162","589.0","1618.0","179.2","61","509","18","118"
"163","592.2","1628.0","173.9","67","529","18","118"
"164","595.6","1638.0","171.9","69","537","18","118"
"165","598.3","1646.0","167.8","74","555","18","118"
"166","601.3","1656.0","157.5","90","608","23","118"
"167","604.4","1665.0","171.1","70","540","19","118"
"168","607.6","1674.0","171.1","70","540","19","119"
"169","610.9","1684.0","169.7","72","546","18","119"
"170","614.4","1694.0","171.0","70","541","17","119"
"171","617.7","1704.0","171.0","70","541","17","119"
"172","621.0","1713.0","173.2","67","532","18","120"
"173","624.2","1723.0","175.3","65","523","19","121"
"174","627.6","1733.0","169.8","71","546","19","121"
"175","631.1","1743.0","170.3","71","544","18","120"
"176","634.6","1753.0","175.7","65","522","17","120"
"177","638.0","1762.0","178.3","62","512","17","119"
"178","641.4","1772.0","175.5","65","523","18","118"
"179","644.6","1782.0","175.5","65","523","18","118"
"180","648.0","1792.0","163.4","80","576","19","117"
"181","651.3","1802.0","161.0","84","588","17","118"
"182","654.4","1812.0","163.4","80","576","19","118"
"183","657.7","1822.0","163.4","80","576","19","119"
"184","661.0","1832.0","165.6","77","565","18","120"
"185","664.5","1842.0","166.0","77","563","18","121"
"186","667.7","1852.0","168.7","73","551","17","121"
"187","671.4","1862.0","174.2","66","528","17","122"
"188","674.9","1872.0","176.0","64","521","17","122"
"189","678.6","1883.0","176.0","64","521","17","122"
"190","681.9","1892.0","182.9","57","497","18","122"
"191","685.4","1901.0","180.3","60","505","17","121"
"192","688.6","1911.0","180.3","60","505","17","121"
"193","691.7","1920.0","173.1","67","532","19","121"
"194","694.8","1929.0","171.6","69","538","19","122"
"195","699.2","1940.0","174.7","66","526","20","122"
"196","702.6","1950.0","187.6","53","482","14","122"
"197","706.2","1960.0","177.6","62","515","18","120"
"198","709.6","1969.0","181.3","59","502","16","120"
"199","712.9","1979.0","177.7","62","514","18","120"
"200","716.3","1989.0","173.7","67","530","18","120"
"201","719.7","1998.0","173.7","67","530","18","121"
"202","723.2","2008.0","173.9","67","529","18","122"
"203","726.8","2019.0","175.6","65","522","17","122"
"204","730.1","2028.0","175.6","65","522","17","123"
"205","734.0","2038.0","179.3","61","509","18","123"
"206","737.7","2048.0","187.5","53","482","15","122"
"207","741.4","2058.0","181.6","58","501","17","122"
"208","745.0","2068.0","181.6","58","501","17","121"
"209","748.4","2077.0","183.6","57","494","18","121"
"210","751.8","2086.0","183.6","57","494","18","120"
"211","755.1","2096.0","188.2","53","480","18","119"
"212","758.4","2105.0","174.3","66","527","18","119"
"213","761.6","2114.0","174.3","66","527","18","120"
"214","765.0","2125.0","173.9","67","529","19","120"
"215","768.3","2134.0","175.4","65","523","18","120"
"216","771.8","2144.0","175.4","65","523","18","121"
"217","774.8","2152.0","174.6","66","526","18","121"
"218","777.8","2161.0","174.1","66","528","20","121"
"219","781.4","2171.0","177.8","62","514","17","121"
"220","784.7","2180.0","177.8","62","514","17","121"
"221","788.1","2190.0","184.0","56","493","18","120"
"222","791.4","2199.0","175.2","65","524","18","120"
"223","794.8","2209.0","175.2","65","524","18","120"
"224","798.0","2218.0","178.1","62","513","18","120"
"225","801.3","2228.0","169.7","72","546","18","121"
"226","804.5","2237.0","169.7","72","546","18","121"
"227","807.5","2246.0","175.2","65","524","19","121"
"228","810.8","2255.0","170.3","71","544","18","121"
"229","814.2","2265.0","170.3","71","544","18","121"
"230","817.3","2273.0","178.1","62","513","19","121"
"231","820.8","2283.0","182.7","57","497","17","121"
"232","824.4","2293.0","190.9","50","473","16","121"
"233","828.0","2302.0","190.9","50","473","16","121"
"234","831.4","2312.0","177.0","63","517","17","121"
"235","834.8","2321.0","177.0","63","517","17","121"
"236","838.2","2331.0","179.0","61","510","18","121"
"237","841.4","2340.0","176.5","64","519","18","122"
"238","845.0","2349.0","176.5","64","519","18","123"
"239","848.7","2359.0","185.9","54","487","17","123"
"240","852.2","2368.0","192.8","49","468","16","122"
"241","855.7","2378.0","191.7","50","471","17","122"
"242","859.0","2386.0","190.1","51","475","17","121"
"243","862.3","2396.0","179.7","60","507","18","120"
"244","865.8","2405.0","179.7","60","507","18","120"
"245","869.1","2415.0","178.3","62","512","18","120"
"246","872.4","2424.0","181.4","59","502","18","120"
"247","875.8","2433.0","179.6","60","508","18","121"
"248","879.3","2443.0","181.2","59","502","17","121"
"249","882.6","2452.0","181.2","59","502","17","122"
"250","886.1","2461.0","186.4","54","486","18","121"
"251","889.5","2471.0","184.5","56","492","17","121"
"252","892.8","2480.0","178.5","62","511","18","120"
"253","896.2","2490.0","178.5","62","511","18","120"
"254","899.4","2499.0","174.3","66","527","19","121"
"255","902.9","2509.0","179.0","61","510","17","121"
"256","906.2","2518.0","179.0","61","510","17","122"
"257","909.8","2528.0","182.9","57","497","18","123"
"258","913.1","2536.0","183.2","57","496","17","123"
"259","916.6","2546.0","189.5","51","477","18","122"
"260","920.2","2555.0","191.2","50","472","17","122"
"261","923.8","2565.0","189.3","52","477","16","120"
"262","927.3","2574.0","186.8","54","485","17","119"
"263","930.9","2584.0","186.6","54","485","17","119"
"264","934.2","2593.0","186.6","54","485","17","119"
"265","937.6","2602.0","181.9","58","500","18","119"
"266","941.0","2611.0","180.7","59","504","18","119"
"267","944.4","2621.0","183.2","57","496","18","119"
"268","947.7","2630.0","183.2","57","496","18","120"
"269","950.6","2638.0","186.3","54","486","18","120"
"270","953.6","2646.0","179.0","61","510","21","120"
"271","956.8","2655.0","175.6","65","522","20","120"
"272","959.9","2664.0","176.0","64","521","19","120"
"273","962.9","2673.0","176.0","64","521","19","120"
"274","966.1","2682.0","180.2","60","506","20","120"
"275","969.3","2690.0","179.6","60","508","19","120"
"276","972.6","2700.0","179.6","60","508","19","121"
"277","975.9","2709.0","181.1","59","503","19","121"
"278","979.3","2718.0","177.6","62","515","17","121"
"279","982.7","2728.0","177.6","62","515","17","121"
"280","986.3","2738.0","176.9","63","517","18","121"
"281","989.7","2747.0","180.9","59","503","17","121"
"282","992.9","2756.0","190.0","51","475","18","122"
"283","996.6","2766.0","184.1","56","493","18","122"
"284","999.9","2775.0","184.9","55","490","18","123"
"285","1003.5","2785.0","184.9","55","490","18","123"
"286","1007.1","2794.0","183.7","56","494","17","123"
"287","1010.8","2803.0","194.9","47","462","16","123"
"288","1014.2","2812.0","194.9","47","462","16","123"
"289","1018.1","2823.0","190.2","51","475","17","122"
"290","1021.8","2832.0","190.1","51","475","16","121"
"291","1025.2","2841.0","190.1","51","475","16","120"
"292","1028.5","2850.0","191.0","50","473","18","120"
"293","1032.0","2860.0","184.8","55","491","18","120"
"294","1035.4","2869.0","187.9","53","481","18","120"
"295","1038.6","2877.0","187.9","53","481","18","120"
"296","1042.0","2886.0","187.6","53","482","19","120"
"297","1045.0","2895.0","189.5","51","477","18","121"
"298","1048.4","2904.0","186.1","54","487","17","121"
"299","1051.9","2913.0","190.7","50","473","17","121"
"300","1055.3","2922.0","191.9","50","470","18","120"
"301","1058.8","2931.0","189.2","52","478","17","120"
"302","1062.3","2940.0","188.9","52","478","17","120"
"303","1065.8","2950.0","191.4","50","472","17","120"
"304","1069.4","2959.0","197.7","45","456","17","120"
"305","1072.9","2968.0","197.7","45","456","17","120"
"306","1076.5","2977.0","191.5","50","471","17","120"
"307","1079.8","2986.0","194.5","48","463","18","120"
"308","1083.0","2994.0","194.5","48","463","18","120"
"309","1086.4","3003.0","185.8","55","488","18","120"
"310","1089.8","3012.0","187.5","53","482","17","120"
"311","1093.4","3022.0","190.5","51","474","17","120"
"312","1096.8","3031.0","190.5","51","474","17","120"
"313","1100.0","3040.0","184.2","56","492","18","120"
"314","1103.5","3050.0","179.7","60","507","19","120"
"315","1107.1","3059.0","183.3","57","495","17","120"
"316","1110.1","3067.0","187.2","53","483","17","119"
"317","1113.3","3076.0","179.0","61","510","19","119"
"318","1116.5","3085.0","179.0","61","510","19","119"
"319","1119.5","3094.0","178.1","62","513","19","118"
"320","1122.7","3103.0","172.3","68","535","20","119"
"321","1125.9","3113.0","171.5","69","538","19","119"
"322","1129.1","3122.0","172.1","69","536","19","120"
"323","1132.4","3131.0","175.4","65","523","18","121"
"324","1135.4","3140.0","177.9","62","514","20","122"
"325","1139.0","3149.0","177.9","62","514","20","122"
"326","1142.4","3158.0","190.1","51","475","18","122"
"327","1145.6","3167.0","190.1","51","475","18","122"
"328","1148.8","3175.0","186.4","54","486","19","121"
"329","1151.8","3184.0","188.1","53","481","20","120"
"330","1155.2","3193.0","188.1","53","481","20","120"
"331","1158.3","3201.0","179.9","60","507","20","120"
"332","1161.6","3210.0","179.9","60","507","20","120"
"333","1164.7","3219.0","183.3","57","495","18","120"
"334","1168.2","3228.0","188.4","52","480","19","121"
"335","1171.4","3237.0","179.0","61","510","19","121"
"336","1174.8","3247.0","179.8","60","507","18","122"
"337","1178.3","3256.0","179.8","60","507","18","122"
"338","1182.0","3266.0","183.7","56","494","17","122"
"339","1185.5","3276.0","181.1","59","503","16","121"
"340","1188.8","3284.0","188.2","53","480","18","121"
"341","1192.2","3294.0","188.2","53","480","18","120"
"342","1195.4","3302.0","182.3","58","499","18","120"
"343","1198.8","3312.0","180.5","60","505","17","120"
"344","1202.3","3321.0","185.0","55","490","17","120"
"345","1205.8","3331.0","190.8","50","473","17","120"
"346","1209.4","3340.0","190.3","51","475","17","120"
"347","1212.9","3349.0","186.8","54","485","17","120"
"348","1216.3","3359.0","188.9","52","478","17","120"
"349","1219.8","3368.0","187.3","53","483","17","120"
"350","1223.2","3377.0","187.3","53","483","17","120"
"351","1226.5","3386.0","187.1","53","484","18","120"
"352","1230.0","3395.0","183.0","57","496","18","121"
"353","1233.5","3405.0","182.8","57","497","17","122"
"354","1237.0","3414.0","187.1","53","484","17","122"
"355","1240.4","3423.0","190.6","51","474","18","122"
"356","1243.8","3432.0","190.7","50","473","18","122"
"357","1247.4","3442.0","188.2","53","480","17","121"
"358","1250.8","3451.0","187.0","54","484","18","120"
"359","1254.2","3460.0","187.0","54","484","18","120"
"360","1257.5","3469.0","184.6","56","491","18","120"
"361","1260.9","3478.0","185.4","55","489","18","120"
"362","1264.1","3487.0","185.4","55","489","18","120"
"363","1267.5","3496.0","182.6","57","498","18","121"
"364","1270.8","3505.0","185.4","55","489","18","121"
"365","1274.2","3514.0","185.4","55","489","18","121"
"366","1277.6","3523.0","194.5","48","463","17","121"
"367","1281.2","3533.0","190.4","51","474","18","121"
"368","1284.7","3542.0","189.5","51","477","17","120"
"369","1288.0","3551.0","188.7","52","479","17","119"
"370","1291.0","3559.0","183.4","57","495","18","119"
"371","1293.9","3567.0","176.7","63","518","20","119"
"372","1297.2","3576.0","176.7","63","518","20","120"
"373","1300.4","3585.0","189.7","51","476","19","120"
"374","1303.6","3594.0","189.7","51","476","19","121"
"375","1306.7","3602.0","183.0","57","496","19","121"
"376","1309.9","3611.0","177.9","62","514","19","122"
"377","1313.2","3620.0","177.9","62","514","19","122"
"378","1316.6","3630.0","180.1","60","506","18","122"
"379","1320.0","3639.0","181.9","58","500","17","122"
"380","1323.3","3648.0","188.1","53","481","18","122"
"381","1326.7","3657.0","188.1","53","481","18","121"
