Date,Protein(g),Fat(g),Carbs(g),Total Cals,Weight(lbs),%Cals Protein,P:NPE ratio (cals),P:NPE (g),Delta Weight
12/14/2017,127.39,130.61,13.42,1738.73,183.731,0.293064478,0.414556164,0.884468514,-4.453
12/15/2017,162.05,130.87,19.46,1903.87,179.278,0.340464422,0.516218433,1.077961817,-0.73
12/16/2017,171.74,159.03,6.55,2144.43,178.548,0.320346199,0.471337317,1.037202561,2.923
12/17/2017,157.29,102.2,19.57,1627.24,181.471,0.386642413,0.630370311,1.291697462,-0.494
12/18/2017,171.64,104.26,26.39,1730.46,180.977,0.396749997,0.657687518,1.313738997,0.369
12/19/2017,172.15,117.63,8.21,1780.11,181.346,0.386830027,0.630869163,1.368006993,-2.339
12/20/2017,234.94,123.51,16.7,2118.15,179.007,0.443670184,0.797494887,1.675629413,-0.375
12/21/2017,158.36,123.91,17.61,1819.07,178.632,0.348221894,0.534264484,1.118993782,-2.529
12/22/2017,154.32,159.5,15.62,2115.26,176.103,0.291822282,0.412074928,0.881224303,2.864
12/23/2017,166.2,140.72,28.74,2046.24,178.967,0.324888576,0.48123697,0.980762422,0.472
12/24/2017,173.17,136.66,23.48,2016.54,179.439,0.343499261,0.523227532,1.081366304,-0.344
12/25/2017,271.32,140.2,9.4,2384.68,179.095,0.455105087,0.835216254,1.813636364,1.442
12/26/2017,208.94,116.93,20.58,1970.45,180.537,0.424146769,0.736553596,1.519453131,-2.52
12/27/2017,148.49,144.24,36.39,2037.68,178.017,0.291488359,0.411409415,0.822067209,1.799
12/28/2017,204.33,128.68,27.04,2083.6,179.816,0.39226339,0.645449664,1.312162856,-1.535
12/29/2017,139.11,151.49,24.27,2016.93,178.281,0.275884637,0.380995419,0.791477014,-0.183
12/30/2017,253.24,158.79,38.91,2597.71,178.098,0.38994345,0.639192302,1.280930703,3.611
12/31/2017,207.33,133.53,22.2,2119.89,181.709,0.391208978,0.642599781,1.331342709,-2.844
1/1/2018,197.41,135.31,15.03,2067.55,178.865,0.381920631,0.61791519,1.313090329,-0.687
1/2/2018,159.71,147.29,28.13,2076.97,178.178,0.307582681,0.444215752,0.910443507,0.826
1/3/2018,178.23,149.13,26.54,2161.25,179.004,0.329864662,0.492235885,1.014572779,-1.155
1/5/2018,189.61,150.26,17.28,2179.9,177.849,0.347924217,0.533564082,1.131729736,0.712
1/6/2018,201.35,118.98,15.68,1938.94,178.561,0.4153816,0.710517494,1.495247289,-0.831
1/7/2018,281.32,173.05,10.6,2725.13,177.73,0.41292709,0.703365941,1.531826845,0.803
1/8/2018,204.49,127,37.42,2110.64,178.533,0.38754122,0.632762942,1.243705145,-0.093
1/9/2018,190.1,134.81,43.14,2146.25,178.44,0.35429237,0.548688531,1.068277606,-0.875
1/11/2018,159.9,158.61,24.18,2163.81,177.565,0.295589724,0.419627217,0.874774331,-1.989
1/12/2018,189.66,134.69,97.91,2362.49,175.576,0.32111882,0.473011815,0.81539123,0.225
1/13/2018,220.52,164.06,27.06,2466.86,175.801,0.357571974,0.556594606,1.153830054,2.169
1/19/2018,176.26,170.91,24.68,2341.95,177.97,0.301048272,0.430713967,0.901170817,-0.5
1/20/2018,205.45,152.14,24.34,2288.42,177.47,0.359112401,0.560336011,1.164154578,3.031
1/21/2018,196.34,139.9,27.31,2153.7,180.501,0.364656173,0.573950919,1.174212069,-3.141
1/24/2018,215.68,180.78,35.09,2630.1,177.36,0.328017946,0.488134979,0.999119841,-1.292
1/25/2018,199.11,162.46,19.76,2337.62,176.068,0.340705504,0.516772862,1.092690155,-0.344
1/26/2018,212.83,143.94,40.84,2310.14,175.724,0.368514462,0.583567541,1.151802143,0.401
1/27/2018,203.48,216,48.29,2951.08,176.125,0.275804112,0.380841865,0.769911839,-0.835
1/28/2018,215.22,159.57,40.38,2458.53,175.29,0.350160462,0.538841423,1.076369092,3.348
1/29/2018,193.99,166.16,39.11,2427.84,178.638,0.3196092,0.469743565,0.945047986,-1.699
1/30/2018,210.78,192.8,31.79,2705.48,176.939,0.311634165,0.452715909,0.938510174,-0.316
1/31/2018,187.5,158.41,32.69,2306.45,176.623,0.325175053,0.481865784,0.981161695,0.585
2/1/2018,212.83,143.01,32.24,2267.37,177.208,0.375465848,0.601193461,1.214436519,-0.408
2/2/2018,216.37,145.22,39.29,2329.62,176.8,0.371511234,0.591118336,1.172673568,-1.413
2/3/2018,209.22,165.58,32.74,2458.06,175.387,0.340463618,0.516216583,1.054961678,1.342
2/5/2018,234.02,146.33,24.16,2349.69,176.729,0.398384468,0.662191128,1.372631826,-1.263
2/7/2018,197.48,150.12,28.28,2254.12,175.466,0.350433872,0.539489141,1.106950673,0.734
2/8/2018,174.61,180.41,22.9,2413.73,176.2,0.289361279,0.407184791,0.85883626,-2.033
2/9/2018,219.42,310.61,50.25,3874.17,174.167,0.226546589,0.292902696,0.608047442,2.159
2/10/2018,170.8,174.34,46.87,2439.74,176.326,0.280029839,0.388946452,0.772116993,-0.17
2/15/2018,199.27,192.26,38.78,2682.54,176.156,0.297136296,0.422750947,0.862491343,-1.504
2/16/2018,187.7,170.1,36.36,2427.14,174.652,0.309335267,0.447880502,0.909134941,2.974
2/17/2018,212.5,156.24,31.35,2381.56,177.626,0.356908917,0.554989684,1.132789594,-2.502
2/18/2018,246.9,231.45,6.82,3097.93,175.124,0.318793517,0.46798368,1.036219415,-1.501
2/21/2018,265.03,198.72,1.16,2853.24,173.623,0.371549537,0.591215312,1.325945567,-0.847
2/22/2018,260.48,166.72,9.93,2582.12,172.776,0.403513392,0.676483574,1.474554203,0.227
2/23/2018,284.18,185.02,6.82,2829.18,173.003,0.401784263,0.671637734,1.481338616,-0.452
2/24/2018,299.54,181.35,4.92,2849.99,172.551,0.420408493,0.725353093,1.608095775,-0.465
2/26/2018,289.92,177.46,7.34,2786.18,172.086,0.4162258,0.712991085,1.568831169,1.857
2/27/2018,350.41,143.86,0.49,2698.34,173.943,0.519445289,1.080928511,2.427502598,-0.514
3/1/2018,247.32,120.4,1.16,2077.52,173.429,0.476183141,0.909064177,2.034550839,-0.485
3/2/2018,193.43,188.26,10.29,2509.22,172.944,0.308350802,0.445819649,0.974213045,4.846
3/3/2018,213.52,201.72,12.11,2718,177.79,0.314231052,0.458217091,0.99855025,1.651
3/4/2018,245.45,107.71,4.12,1967.67,179.441,0.498965782,0.995871667,2.194849325,-4.345
3/5/2018,221.83,106.17,1.37,1848.33,175.096,0.480065789,0.923320257,2.062767342,-2.267
3/6/2018,249.7,134.65,4.67,2229.33,172.829,0.448026986,0.811682771,1.792276773,-0.824
3/7/2018,264.66,163.63,4.02,2547.39,172.005,0.415578298,0.711093199,1.578645989,0.904
3/8/2018,200.77,147.8,1.24,2138.24,172.909,0.375579916,0.601485964,1.34708803,1.862
3/9/2018,220.58,208.69,23.61,2854.97,174.771,0.30904703,0.447276506,0.949547998,-1.192
3/10/2018,333.94,269.21,18.37,3832.13,173.579,0.348568551,0.535080938,1.161207316,2.91
3/11/2018,225.31,191.12,2.83,2632.64,176.489,0.342333171,0.520526741,1.161691158,1.356
3/12/2018,112.39,94.66,2.54,1311.66,177.845,0.342741259,0.521470827,1.15627572,-3.737
3/13/2018,116.23,88.9,7.57,1295.3,174.108,0.358928434,0.559888244,1.204830517,1.069
3/14/2018,118.11,95.7,6.61,1360.18,175.177,0.347336382,0.532182846,1.154432607,-1.537
3/15/2018,133.51,77.39,6.58,1256.87,173.64,0.424896767,0.738818256,1.589972609,-2.621
3/16/2018,131.67,74.23,17.85,1266.15,171.019,0.415969672,0.712239847,1.429952215,-0.505
3/17/2018,237.72,138.18,31.92,2322.18,170.514,0.409477302,0.693415008,1.397530864,0.501
3/18/2018,129.58,144.02,8.03,1846.62,171.015,0.280685794,0.390213054,0.852219665,-0.9
3/19/2018,183.23,82.61,7.48,1506.33,170.115,0.48656005,0.947647432,2.033855034,-0.006
3/20/2018,178.64,68.87,11.75,1381.39,170.109,0.517276077,1.071577464,2.215827338,-0.913
3/21/2018,152,72.12,3.93,1272.8,169.196,0.477686989,0.91456077,1.998685076,-1.107
3/22/2018,183.13,126.49,18.45,1944.73,168.089,0.376669255,0.604284736,1.26348834,1.193
3/23/2018,202.49,53.74,22.95,1385.42,169.282,0.584631375,1.407500087,2.640370322,1.865
3/24/2018,140.84,128.5,20.55,1802.06,171.147,0.312620002,0.454799386,0.944917813,-2.685
3/25/2018,189.74,78.05,18.32,1534.69,168.462,0.494536356,0.978381653,1.96886998,1.193
3/26/2018,157.37,88.55,12.12,1474.91,169.655,0.426792143,0.744567853,1.563226383,-1.136
3/28/2018,150.92,82.18,16.61,1409.74,168.519,0.428220807,0.748926879,1.527684988,0.388
3/29/2018,176.87,100.15,17.97,1680.71,168.907,0.42094115,0.726940189,1.49737555,-2.271
3/30/2018,161.08,103.82,9.28,1615.82,166.636,0.398757287,0.663221822,1.424226348,1.116
3/31/2018,234.22,217.83,38.18,3050.07,167.752,0.307166721,0.443348681,0.914886137,3.305
4/2/2018,176.23,95.11,18.27,1633.99,171.057,0.431410229,0.758737232,1.55433057,1.825
4/4/2018,212.32,155.4,24.85,2347.28,172.882,0.361814526,0.56694259,1.177919556,-2.491
4/5/2018,189.06,135.69,22.98,2069.37,170.391,0.365444556,0.575906422,1.19152959,-1.356
4/6/2018,188.26,161.5,40.33,2367.86,169.035,0.318025559,0.466330613,0.932765198,-1.045
4/7/2018,145.31,99.31,32.5,1605.03,167.99,0.362136533,0.567733617,1.10242015,-0.408
4/8/2018,278.43,103.7,26.74,2153.98,167.582,0.517052155,1.070616961,2.134544618,3.448
4/9/2018,150.01,85.61,33.72,1505.41,171.03,0.398589089,0.662756663,1.257102154,0.227
4/10/2018,155.39,115.79,33,1795.67,171.257,0.346143779,0.529388217,1.04435782,-2.753
4/11/2018,176.86,136.81,34.14,2075.29,168.504,0.340887298,0.517191212,1.034571512,-0.185
4/12/2018,166,141.13,23.21,2027.01,168.319,0.327576085,0.487157101,1.01010101,1.296
4/13/2018,193.48,164.4,34.96,2393.36,169.615,0.3233613,0.477893593,0.970505618,-0.624
4/14/2018,164.64,171.66,50.16,2404.14,168.991,0.273927475,0.377272884,0.742223424,-0.205
4/15/2018,131.22,155.34,39.15,2079.54,168.786,0.252401974,0.337617228,0.674687645,0.335
4/16/2018,191.14,162.33,22.99,2317.49,169.121,0.329908651,0.492333846,1.031405137,-0.941
4/17/2018,155.38,164.25,22.21,2188.61,168.18,0.283979329,0.396607725,0.833315456,-1.184
4/18/2018,206.51,165.65,23.19,2409.65,166.996,0.342804972,0.521618328,1.093571277,-1.731
4/19/2018,195.42,210.26,23.06,2766.26,165.265,0.282576475,0.39387679,0.837562146,-0.564
4/20/2018,224.55,244.92,34.66,3241.12,164.701,0.277126425,0.383367763,0.803169039,3.886
4/21/2018,163.42,254.82,31.69,3073.82,168.587,0.212660468,0.270100077,0.570381488,0.702
4/22/2018,172.44,274.24,42.81,3329.16,169.289,0.207187399,0.261332121,0.543888977,2.537
4/23/2018,215.5,239.25,31.36,3140.69,171.826,0.274461981,0.378287525,0.796348989,0.56
4/24/2018,183.08,236.11,39.08,3013.63,172.386,0.243002625,0.321008543,0.665285803,-0.342
4/25/2018,104.94,172.07,34.15,2104.99,172.044,0.199411874,0.249081728,0.508874018,-2.658
4/26/2018,144.04,169.25,24.62,2197.89,169.386,0.262142327,0.355274922,0.742972095,0.767
4/27/2018,144.69,208.64,10.93,2500.24,170.153,0.231481778,0.301205321,0.658969805,-0.598
4/28/2018,162.07,214.25,21.29,2661.69,169.555,0.243559543,0.321981117,0.688078458,0.426
4/29/2018,224.83,197.17,29.84,2793.21,169.981,0.321966483,0.474853344,0.990396899,-0.58
4/30/2018,176.7,197.15,21.67,2567.83,169.401,0.275251866,0.379789686,0.807513024,0.39
5/1/2018,194.82,166.54,23.25,2371.14,169.791,0.328652041,0.489540537,1.026502977,-0.985
5/2/2018,207.62,185.12,27.72,2607.44,168.806,0.318503973,0.467359986,0.975474535,-1.839
5/3/2018,162.82,211.47,38.14,2707.07,166.967,0.240584839,0.316802786,0.652297584,1.109
5/4/2018,160.6,214.98,48.92,2772.9,168.076,0.231670814,0.301525464,0.60856385,2.059
5/5/2018,155.22,167.81,24.95,2230.97,170.135,0.27830047,0.385618195,0.805250052,-0.774
5/7/2018,174.49,172.39,17.58,2319.79,169.361,0.300872062,0.430353366,0.918513449,-2.972
5/9/2018,166.47,148.67,22.2,2092.71,166.389,0.318190289,0.466684889,0.974249429,1.559
5/10/2018,198.19,140.6,21.27,2143.24,167.948,0.36988858,0.587020911,1.224377587,1.404
5/11/2018,198.63,142.91,20.21,2161.55,169.352,0.367569568,0.581201583,1.217692496,1.145
5/14/2018,183.48,141.08,21.54,2089.8,170.497,0.351191502,0.54128684,1.128274505,-1.927
5/15/2018,176.12,143.79,18.17,2071.27,168.57,0.34011983,0.515426657,1.087428995,-2.879
5/17/2018,174.33,138.74,34.06,2082.22,165.691,0.334892567,0.503516499,1.008854167,1.362
5/18/2018,175.24,132.94,19.78,1976.54,167.053,0.354639926,0.54952257,1.147459403,-2.998
5/20/2018,178.13,166.42,27.61,2320.74,164.055,0.30702276,0.443048837,0.918053909,-1.466
5/21/2018,192.75,171.9,31.08,2442.42,162.589,0.315670523,0.461284417,0.949600946,2.118
5/22/2018,160.2,150.76,38.46,2151.48,164.707,0.297841486,0.42417984,0.846633548,1.799
5/24/2018,177.96,147.29,36.99,2185.41,166.506,0.325723777,0.483071724,0.965704363,0.798
5/25/2018,188.41,177,28.78,2461.76,167.304,0.306138698,0.441210219,0.915589464,0.188
5/26/2018,245.21,174.28,43.56,2723.6,167.492,0.360126303,0.562808419,1.125642674,1.107
5/27/2018,184.23,151.39,32.7,2230.23,168.599,0.33042332,0.493480925,1.000760498,-2.024
5/28/2018,168.4,203.37,33.6,2638.33,166.575,0.25531302,0.342846091,0.710638477,0.974
5/29/2018,180.34,142.87,23,2099.19,167.549,0.343637308,0.523547898,1.087236993,0.862
5/30/2018,166.83,156.21,33.09,2205.57,168.411,0.302561243,0.43381765,0.881299525,0.979
5/31/2018,178.09,162.36,16.93,2241.32,169.39,0.317830564,0.465911469,0.993306933,0.029
6/1/2018,218.08,168.13,30.86,2508.93,169.419,0.347686065,0.533004198,1.095934469,-3.4
6/2/2018,199.97,142.45,17.28,2151.05,166.019,0.371855605,0.591990645,1.251925124,0.666
6/3/2018,167.51,114.88,31.64,1830.52,166.685,0.366038066,0.577381773,1.143256893,-0.483
6/4/2018,165.25,140.47,19.45,2003.03,166.202,0.33000005,0.492537425,1.033329165,-0.013
6/6/2018,172.45,158.16,17.35,2182.64,166.189,0.316039292,0.462072292,0.982565096,-0.964
6/7/2018,158.91,150.46,34.39,2127.34,165.225,0.298795679,0.426117852,0.859670003,-0.822
6/8/2018,184.5,168.35,28.71,2367.99,164.403,0.311656722,0.452763514,0.936263067,0.26
6/9/2018,235.27,211.19,38.84,2997.15,164.663,0.313991625,0.457708152,0.940967084,1.458
6/10/2018,192.06,184.06,40.96,2588.62,166.121,0.296775888,0.422021776,0.853524131,0
